primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
TSC22D3	Time	9.83572181072766e-74	0.0768841610558079	4.24214681696684e-70	PTID4	NK	increasing over time
DDIT4	Time	1.28760845809458e-57	0.0657017499719759	2.77672763988095e-54	PTID4	NK	increasing over time
FOS	Time	2.55067021007968e-55	0.0610777746001449	3.66701353869123e-52	PTID4	NK	increasing over time
JUND	Time	2.00487121955412e-37	0.0605137423025961	1.23528708141956e-34	PTID4	NK	increasing over time
JUNB	Time	1.07988809858243e-33	0.0560428372403274	5.8219467114825e-31	PTID4	NK	increasing over time
JUN	Time	2.68719904974267e-32	0.0543335247998183	1.15898895015402e-29	PTID4	NK	increasing over time
ZFP36L2	Time	6.9079620121424e-28	0.0460849450535576	2.48283667986418e-25	PTID4	NK	increasing over time
DUSP2	Time	5.16648712731121e-32	0.0442674039648904	2.02573263455393e-29	PTID4	NK	increasing over time
ZFP36	Time	1.05772424193427e-44	0.0399817848806791	1.14049116386562e-41	PTID4	NK	increasing over time
DUSP1	Time	2.75286400393552e-41	0.0347005830565688	2.37462048979478e-38	PTID4	NK	increasing over time
CCL4	Time	4.75098620400042e-10	0.0346986697549343	6.61000112833994e-08	PTID4	NK	increasing over time
MAP3K8	Time	7.57855875500816e-28	0.032838087907454	2.51433260848848e-25	PTID4	NK	increasing over time
IER2	Time	2.44191576971578e-15	0.0319207037670211	5.26599135739208e-13	PTID4	NK	increasing over time
BTG1	Time	1.07563351357364e-13	0.0315596614845237	2.01704667132309e-11	PTID4	NK	increasing over time
CD69	Time	2.07195516930511e-19	0.0315218092762177	5.58521415325808e-17	PTID4	NK	increasing over time
NCL	Time	2.57108900616286e-10	0.0298406585174307	3.69636896119347e-08	PTID4	NK	increasing over time
LGALS1	Time	3.51309838340423e-08	0.028812300136254	2.7057130942183e-06	PTID4	NK	increasing over time
CXCR4	Time	1.35933744592993e-18	0.0284860199810035	3.44871906135047e-16	PTID4	NK	increasing over time
TXNIP	Time	9.99189383979759e-24	0.0272067849525257	3.0782170093605e-21	PTID4	NK	increasing over time
AC007952.4	Time	4.63041979675276e-38	0.0268250683511827	3.32850009723245e-35	PTID4	NK	increasing over time
NDUFB7	Time	1.7860506139546e-08	0.026277437014349	1.63898644638004e-06	PTID4	NK	increasing over time
S100A6	Time	3.48918718346242e-07	0.0262270118156835	1.57267857773452e-05	PTID4	NK	increasing over time
BTG2	Time	1.62762113396349e-18	0.026176507722576	3.89996108376918e-16	PTID4	NK	increasing over time
CEBPB	Time	1.81189406944546e-15	0.0245041272586233	4.11299953764119e-13	PTID4	NK	increasing over time
PSME2	Time	1.52152535798104e-06	0.0237262774323515	3.95681415572441e-05	PTID4	NK	increasing over time
PIK3R1	Time	2.95912240918205e-08	0.0234467111021991	2.40805565109475e-06	PTID4	NK	increasing over time
RBM3	Time	1.06429857847497e-06	0.022444126352331	3.31548408643129e-05	PTID4	NK	increasing over time
TLN1	Time	3.79716379457606e-06	0.0220182913119	7.33298456330357e-05	PTID4	NK	increasing over time
CEMIP2	Time	1.37101382983661e-14	0.0208942998976025	2.815801260993e-12	PTID4	NK	increasing over time
NFKBIA	Time	2.26880825286029e-09	0.0207555200003649	2.87804999840778e-07	PTID4	NK	increasing over time
EFHD2	Time	8.34698649898858e-06	0.0207160387059657	0.000124139837138406	PTID4	NK	increasing over time
PPP2R5C	Time	5.73670580443726e-05	0.0202953032908739	0.00041653892482387	PTID4	NK	increasing over time
VIM	Time	0.000197618984515184	0.0200911304472984	0.000943808218506719	PTID4	NK	increasing over time
CYTIP	Time	2.90414831747019e-08	0.0200893308886896	2.40805565109475e-06	PTID4	NK	increasing over time
TPM3	Time	4.56359507722396e-05	0.0198986642852879	0.000360051658075788	PTID4	NK	increasing over time
YWHAZ	Time	4.20710862366723e-05	0.0198503565814547	0.00034366021768706	PTID4	NK	increasing over time
HSPA5	Time	2.30298966187855e-07	0.0198080396735507	1.23180297422076e-05	PTID4	NK	increasing over time
OPTN	Time	1.37221126711368e-08	0.0197604863154442	1.34507890796848e-06	PTID4	NK	increasing over time
LY6E	Time	2.37434964313635e-05	0.0196421084181679	0.000239208361261544	PTID4	NK	increasing over time
TAGLN2	Time	5.81468070288272e-06	0.0192722347090574	9.91253670811588e-05	PTID4	NK	increasing over time
IL32	Time	0.00112869252324913	0.0192592427178945	0.00320266503471939	PTID4	NK	increasing over time
EIF5A	Time	2.6969023495148e-05	0.0192416290891896	0.000257339376846402	PTID4	NK	increasing over time
LDHA	Time	2.2402822328989e-05	0.0191202653716883	0.000230604708126324	PTID4	NK	increasing over time
S100A4	Time	3.77072882546904e-07	0.0190025503197204	1.65950545145387e-05	PTID4	NK	increasing over time
MCL1	Time	1.21220428689155e-08	0.0186360939663486	1.28244498877922e-06	PTID4	NK	increasing over time
IRF1	Time	0.000799729853818772	0.0185316266268121	0.00251585328921981	PTID4	NK	increasing over time
ARPC1B	Time	4.60812694778194e-05	0.0184982995066036	0.000360051658075788	PTID4	NK	increasing over time
RBM39	Time	5.56361559758425e-05	0.0181283026963541	0.000406972522864673	PTID4	NK	increasing over time
MORF4L1	Time	4.3179653681542e-07	0.0179662098094722	1.82582202282834e-05	PTID4	NK	increasing over time
PDIA3	Time	0.0001286706501879	0.0179069011901487	0.000700702669520726	PTID4	NK	increasing over time
HSP90AB1	Time	0.000215985381979826	0.0177580155050447	0.00100058534100858	PTID4	NK	increasing over time
XRCC5	Time	2.39509357145055e-06	0.0176392943063419	5.46909000290625e-05	PTID4	NK	increasing over time
SPON2	Time	0.000285893998082787	0.0175254741576101	0.00119974756772138	PTID4	NK	increasing over time
PRR13	Time	0.000230407725017526	0.0171639759714257	0.00104587761987188	PTID4	NK	increasing over time
PRELID1	Time	0.000409681659637948	0.01698721191374	0.0015378215822615	PTID4	NK	increasing over time
AREG	Time	8.24682734499596e-33	0.0169707973835432	3.95206292655195e-30	PTID4	NK	increasing over time
CD63	Time	0.000277831925443317	0.0169444204856588	0.00118493590624324	PTID4	NK	increasing over time
CAP1	Time	3.17831149565373e-05	0.0165794037015863	0.00028677944520407	PTID4	NK	increasing over time
LIMD2	Time	0.000140896395126056	0.0163335988418374	0.000748834623847801	PTID4	NK	increasing over time
SF3B2	Time	1.81168403917176e-06	0.0162784548647651	4.43965526190215e-05	PTID4	NK	increasing over time
DDX24	Time	2.72627701704373e-05	0.0161080962895602	0.000258996316619154	PTID4	NK	increasing over time
HNRNPA3	Time	0.00151899934571401	0.0161007836160358	0.00395465050063611	PTID4	NK	increasing over time
S100A10	Time	0.000286235760533787	0.0159683057391202	0.00119974756772138	PTID4	NK	increasing over time
MATK	Time	2.64602864167564e-05	0.0159455352387261	0.000254739319900603	PTID4	NK	increasing over time
IGFBP7	Time	0.00166110874486155	0.0159349348201044	0.0042044378031619	PTID4	NK	increasing over time
COX5B	Time	0.000134049310509631	0.0159119646302734	0.000721791106402046	PTID4	NK	increasing over time
EVL	Time	0.00148193010292535	0.0159110751915845	0.00389385218939219	PTID4	NK	increasing over time
KLF3	Time	7.63255493279578e-07	0.0158811932588246	2.66458475786269e-05	PTID4	NK	increasing over time
ATP5F1D	Time	9.41733069879769e-05	0.0158733963129705	0.000563600115393207	PTID4	NK	increasing over time
COX8A	Time	0.0011200826335489	0.0158064625557817	0.00318635051713382	PTID4	NK	increasing over time
