primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
SRSF5	Time	2.50719282473627e-13	0.0613668826770062	6.10405022330023e-11	PTID2	B-naive	increasing over time
TCL1A	Time	6.47134987804135e-07	0.0482144337960146	8.19272894560035e-05	PTID2	B-naive	increasing over time
NCF1	Time	7.41392997133423e-07	0.0436494453593561	8.69077346639734e-05	PTID2	B-naive	increasing over time
MYL12A	Time	1.96809641387725e-06	0.0434463110338581	0.000177972147140614	PTID2	B-naive	increasing over time
MS4A1	Time	2.03098007622084e-06	0.0423860588432678	0.000178556998367749	PTID2	B-naive	increasing over time
CLIC1	Time	1.67370226222461e-07	0.0418208482572529	2.52250840949566e-05	PTID2	B-naive	increasing over time
ACTG1	Time	1.86669855417952e-07	0.0401291850947711	2.56873953216442e-05	PTID2	B-naive	increasing over time
HVCN1	Time	1.4398851751783e-05	0.0359879959373743	0.00103573558623621	PTID2	B-naive	increasing over time
CD53	Time	7.20410639524217e-06	0.0353758452197599	0.00055612187173028	PTID2	B-naive	increasing over time
CD79B	Time	2.38025552312638e-07	0.0347352143224138	3.13896197112291e-05	PTID2	B-naive	increasing over time
STX7	Time	0.000125027311799556	0.033984679472171	0.00590614092306858	PTID2	B-naive	increasing over time
ACTR3	Time	7.16099818468028e-07	0.0335627168207743	8.69077346639734e-05	PTID2	B-naive	increasing over time
HLA-DQA2	Time	0.000227235976748296	0.0334179993531238	0.00922053674882509	PTID2	B-naive	increasing over time
HSP90AA1	Time	2.84849939650743e-05	0.0333834196881719	0.00176774521371491	PTID2	B-naive	increasing over time
GAPT	Time	7.35626920223196e-10	0.0327155295283356	1.45516200156651e-07	PTID2	B-naive	increasing over time
ARPC5	Time	9.73094027665314e-07	0.0315525633304661	0.000102661419918691	PTID2	B-naive	increasing over time
STK17A	Time	5.84245674129402e-05	0.0313771097782855	0.00330203135467778	PTID2	B-naive	increasing over time
ACTB	Time	1.69714854887007e-06	0.0288469104748215	0.000157984563446287	PTID2	B-naive	increasing over time
SNX2	Time	0.00257184134971067	0.0279529370801546	0.049293822447957	PTID2	B-naive	increasing over time
LTB	Time	0.000194965671132954	0.0273127489691491	0.00833873444778106	PTID2	B-naive	increasing over time
HSPA8	Time	1.79858604289909e-05	0.0272896370922789	0.00126500551683903	PTID2	B-naive	increasing over time
CYBA	Time	1.16667129519111e-05	0.0271858419574702	0.000858724337041829	PTID2	B-naive	increasing over time
SARAF	Time	0.00395520534758468	0.0269193799363672	0.0673022845435781	PTID2	B-naive	increasing over time
TRAF3IP3	Time	0.00112533595588393	0.0259715305084278	0.0292455716026395	PTID2	B-naive	increasing over time
TRIR	Time	0.00306088541845411	0.0248378587450545	0.0563238508686468	PTID2	B-naive	increasing over time
GNG5	Time	0.00042972384950828	0.0246653805381774	0.0147834346053664	PTID2	B-naive	increasing over time
CORO1A	Time	0.000513247247544861	0.0238505999982104	0.0169276183557286	PTID2	B-naive	increasing over time
SYPL1	Time	0.000278242123934743	0.0236205539837644	0.0108720533611538	PTID2	B-naive	increasing over time
PTPN6	Time	0.000197856040875152	0.0235292016626594	0.0083495249249314	PTID2	B-naive	increasing over time
CSTB	Time	0.000124457178117689	0.0232624797352282	0.00590614092306858	PTID2	B-naive	increasing over time
VIM	Time	0.0184855772601828	0.0232041206314842	0.160292745283503	PTID2	B-naive	increasing over time
OAZ1	Time	0.00538848314347546	0.0231694651128307	0.0802799520338306	PTID2	B-naive	increasing over time
IFI16	Time	0.0021891273894759	0.0231530453894988	0.0443245549637138	PTID2	B-naive	increasing over time
MYL6	Time	0.0134605192088513	0.0229966831325721	0.136546613128251	PTID2	B-naive	increasing over time
HNRNPF	Time	4.47258589350514e-05	0.0226227371237039	0.00257376988235341	PTID2	B-naive	increasing over time
TSPAN13	Time	0.000256470188207442	0.0225617857154241	0.0101466018209569	PTID2	B-naive	increasing over time
SSBP1	Time	0.00238341694088632	0.022462668546693	0.0465649050487976	PTID2	B-naive	increasing over time
SUB1	Time	0.0164439412151581	0.0223638448295678	0.150633825483404	PTID2	B-naive	increasing over time
UQCR10	Time	0.00347760268017691	0.0223615812922104	0.0618349015885388	PTID2	B-naive	increasing over time
HIST1H1D	Time	0.0122778659821369	0.0222761967398893	0.129531486111544	PTID2	B-naive	increasing over time
HIST1H1E	Time	0.00403305862298365	0.0222273856827707	0.0682600563729586	PTID2	B-naive	increasing over time
ZNF706	Time	0.00127636648532222	0.0220616255143647	0.0320611105241653	PTID2	B-naive	increasing over time
TRAPPC1	Time	0.00199860363537312	0.0217855666799085	0.0415370616205526	PTID2	B-naive	increasing over time
POLR2L	Time	9.91915557242594e-05	0.0217394362771458	0.00510332945700083	PTID2	B-naive	increasing over time
EDF1	Time	0.00914018303867091	0.0217393882689381	0.110837851790779	PTID2	B-naive	increasing over time
SMIM14	Time	0.00167944928987986	0.0216193562771201	0.0385178043657229	PTID2	B-naive	increasing over time
TRMT112	Time	0.00371344805287306	0.0213847283901014	0.0644292619136385	PTID2	B-naive	increasing over time
YWHAB	Time	0.0160328243334161	0.0213575805479385	0.14924673239783	PTID2	B-naive	increasing over time
MYL12B	Time	0.00453723389580842	0.0211912214616775	0.0736427963088905	PTID2	B-naive	increasing over time
VPREB3	Time	0.0133960274748674	0.0209592281117257	0.13632934713169	PTID2	B-naive	increasing over time
PSMB8	Time	0.00363245585598198	0.0209055788259832	0.0642275015876144	PTID2	B-naive	increasing over time
DYNLL1	Time	8.2231703467258e-07	0.02087075777797	9.29511933835256e-05	PTID2	B-naive	increasing over time
CALM2	Time	0.0141967668383048	0.0204999209406582	0.140804575831693	PTID2	B-naive	increasing over time
H2AFZ	Time	0.0021987219997798	0.0204851713342019	0.0443245549637138	PTID2	B-naive	increasing over time
ATP6V1G1	Time	0.00079808377035115	0.0204691299041184	0.0236068704033775	PTID2	B-naive	increasing over time
TIFA	Time	7.13505651083132e-06	0.0204158568996081	0.00055612187173028	PTID2	B-naive	increasing over time
HSPE1	Time	6.50571151232995e-05	0.0203547595423123	0.00355009947181454	PTID2	B-naive	increasing over time
DDX17	Time	0.020279794078573	0.020262326589321	0.166283803778973	PTID2	B-naive	increasing over time
TMEM258	Time	0.0078130848876162	0.0201921153645881	0.100932300691042	PTID2	B-naive	increasing over time
LSM10	Time	0.00514200283110462	0.020133956162752	0.0784792578849908	PTID2	B-naive	increasing over time
PRDX1	Time	0.000176478447106487	0.0201245136173024	0.00775769840405598	PTID2	B-naive	increasing over time
LDHB	Time	0.00193295919416453	0.0201145772126684	0.0406202984289894	PTID2	B-naive	increasing over time
BRK1	Time	0.00719602312976401	0.020068152266208	0.0960987898974813	PTID2	B-naive	increasing over time
HLA-DRB1	Time	0.000310953821134369	0.0199158906410872	0.0120020590718327	PTID2	B-naive	increasing over time
RAC2	Time	0.020013270195615	0.0198543682199908	0.165501100724424	PTID2	B-naive	increasing over time
ATP6V0E1	Time	0.0132028169035283	0.0196615379970029	0.134911803035913	PTID2	B-naive	increasing over time
PLEKHO1	Time	0.000908965776939845	0.0196363461746744	0.0252357603860931	PTID2	B-naive	increasing over time
DNAJA1	Time	3.75369874967554e-05	0.0190292188521695	0.00224159557409869	PTID2	B-naive	increasing over time
PSMB1	Time	0.0063693891024034	0.0190223493077047	0.0908068311221026	PTID2	B-naive	increasing over time
RAN	Time	0.0218543550913547	0.0189886061793474	0.175762094642033	PTID2	B-naive	increasing over time
PCBP2	Time	0.00872483856709535	0.0189088887357514	0.108290643391595	PTID2	B-naive	increasing over time
PGLS	Time	0.00181386277766466	0.0187227866312455	0.0401459838553053	PTID2	B-naive	increasing over time
ARL6IP5	Time	0.0144491464392265	0.0186898309180423	0.14112248842929	PTID2	B-naive	increasing over time
TNFAIP8	Time	0.0410310974470889	0.0186055585851946	0.256647081857779	PTID2	B-naive	increasing over time
BCL11A	Time	0.0348927808047527	0.0185744931620527	0.230554595505307	PTID2	B-naive	increasing over time
PFDN2	Time	2.76598529813604e-06	0.0185211795001863	0.000236603877529745	PTID2	B-naive	increasing over time
SRP14	Time	0.04934381753869	0.0185117621554916	0.279666325314006	PTID2	B-naive	increasing over time
ARPC3	Time	0.0162975050491224	0.0184724410631083	0.150456810499601	PTID2	B-naive	increasing over time
UBL5	Time	0.0242230257500031	0.01837854534636	0.187447130803814	PTID2	B-naive	increasing over time
PTGES3	Time	0.0145804277144953	0.0183176837357998	0.14112248842929	PTID2	B-naive	increasing over time
ENO1	Time	0.0027161722392109	0.0182002502553718	0.050867959391139	PTID2	B-naive	increasing over time
HLA-DMA	Time	0.00830459881683512	0.0181269112013815	0.105284011794285	PTID2	B-naive	increasing over time
YTHDC1	Time	0.00630258258444065	0.0181225105587121	0.0906712449079757	PTID2	B-naive	increasing over time
SNAP23	Time	0.000574223248711569	0.018119679500074	0.0183577432542638	PTID2	B-naive	increasing over time
HNRNPA2B1	Time	0.000107986360961894	0.0180872618786827	0.00542502908641895	PTID2	B-naive	increasing over time
SKP1	Time	0.0521586676779006	0.0180391059077629	0.286356254822011	PTID2	B-naive	increasing over time
SNRPG	Time	0.00243306064401019	0.0179714054707472	0.0472390224121174	PTID2	B-naive	increasing over time
SERBP1	Time	0.0522950759201018	0.0179646595865387	0.286356254822011	PTID2	B-naive	increasing over time
MTPN	Time	0.0275286402137694	0.0179464674586709	0.20148704680069	PTID2	B-naive	increasing over time
BST2	Time	0.00193796684447943	0.0179390579430385	0.0406202984289894	PTID2	B-naive	increasing over time
PRDX5	Time	0.00173543290367397	0.0178837769622109	0.0394270018328657	PTID2	B-naive	increasing over time
PARP1	Time	0.0272441868383576	0.017762402759422	0.20148704680069	PTID2	B-naive	increasing over time
SNU13	Time	0.0245373814457965	0.017721541271384	0.188432761932281	PTID2	B-naive	increasing over time
LAT2	Time	0.00129966352151995	0.0176723989740685	0.0321362112938331	PTID2	B-naive	increasing over time
LDHA	Time	0.00424704929501506	0.0176681398253768	0.0711212223212839	PTID2	B-naive	increasing over time
TMEM59	Time	0.0105761058283404	0.0176133235610482	0.117912907056822	PTID2	B-naive	increasing over time
MZT2B	Time	0.0568870121458733	0.0175603437902305	0.299579689586837	PTID2	B-naive	increasing over time
POU2F2	Time	0.0514867260695019	0.0175313234333355	0.284390031431018	PTID2	B-naive	increasing over time
NOP10	Time	0.000226262986723596	0.0174825576833439	0.00922053674882509	PTID2	B-naive	increasing over time
NDUFAB1	Time	6.04830793727237e-05	0.0174220776034574	0.00335840256516966	PTID2	B-naive	increasing over time
NASP	Time	0.000400171505461007	0.0173000405317019	0.0140726979420454	PTID2	B-naive	increasing over time
KIAA0040	Time	0.00893309507357106	0.0172078093960483	0.10916311161333	PTID2	B-naive	increasing over time
VAMP8	Time	0.00969521285013868	0.0171233137599013	0.1145344693248	PTID2	B-naive	increasing over time
NEDD8	Time	0.0312253079119061	0.0171094950757109	0.215311763706281	PTID2	B-naive	increasing over time
DNAJC8	Time	0.0297162531995011	0.0170753041818282	0.210826112336414	PTID2	B-naive	increasing over time
SNRPD3	Time	0.0103205775360529	0.0170712790130844	0.116990942289962	PTID2	B-naive	increasing over time
MRPL52	Time	0.00673424506388423	0.0170528095033012	0.0926690679443199	PTID2	B-naive	increasing over time
PSME2	Time	0.00122354133441711	0.0170210062945577	0.0309800665874413	PTID2	B-naive	increasing over time
ACAP2	Time	0.00471763917478377	0.0170181218837314	0.0761802448377074	PTID2	B-naive	increasing over time
AC243960.1	Time	0.00182724577271237	0.0169327540464826	0.0401613393794073	PTID2	B-naive	increasing over time
DBI	Time	0.06976693295199	0.0168594052966362	0.334564155747043	PTID2	B-naive	increasing over time
PCBP1	Time	0.0437796832319547	0.0168412892710499	0.265818690031495	PTID2	B-naive	increasing over time
FCRL5	Time	0.00200795274184662	0.0168077974920189	0.0415370616205526	PTID2	B-naive	increasing over time
MAGOH	Time	0.00446325520740675	0.016612987294044	0.0728154779971257	PTID2	B-naive	increasing over time
RNASET2	Time	0.0522595194466398	0.0165331495797392	0.286356254822011	PTID2	B-naive	increasing over time
PSMA4	Time	0.000149506561193464	0.0164464043436533	0.00685780095909151	PTID2	B-naive	increasing over time
PA2G4	Time	0.00928477306219877	0.0164430715838326	0.111845207173368	PTID2	B-naive	increasing over time
WDR83OS	Time	0.030199577109665	0.0164331950451859	0.21120900420874	PTID2	B-naive	increasing over time
RGS19	Time	0.00207291183382953	0.0164025218620641	0.0426023763251328	PTID2	B-naive	increasing over time
CAP1	Time	0.0114631637459401	0.0163052660200387	0.124249702931166	PTID2	B-naive	increasing over time
HLA-DQB1	Time	0.123160640530311	0.0162683094040186	0.430246608475093	PTID2	B-naive	increasing over time
EIF3H	Time	0.077873204172182	0.0162571884475227	0.347628619471024	PTID2	B-naive	increasing over time
NCOR1	Time	0.0245548298092091	0.016250032323021	0.188432761932281	PTID2	B-naive	increasing over time
TMSB4X	Time	0.00176931130599107	0.0162309783043528	0.0395627571558245	PTID2	B-naive	increasing over time
LBH	Time	0.0437315269093817	0.0162165973779907	0.265818690031495	PTID2	B-naive	increasing over time
YY1	Time	0.0273953346304994	0.0161723321389663	0.20148704680069	PTID2	B-naive	increasing over time
REEP5	Time	0.00326893967731134	0.0161461295346672	0.059176745054257	PTID2	B-naive	increasing over time
HNRNPR	Time	0.0461458747917628	0.0161361685754811	0.272993820029775	PTID2	B-naive	increasing over time
CD164	Time	0.00810127388842193	0.0161266285562606	0.103389241358288	PTID2	B-naive	increasing over time
QRSL1	Time	0.000530248541154487	0.0161207532689552	0.0171248635995301	PTID2	B-naive	increasing over time
LUC7L3	Time	0.0742474471474884	0.0160437126545263	0.344060278509225	PTID2	B-naive	increasing over time
RTRAF	Time	0.0144743792757654	0.0160406283040607	0.14112248842929	PTID2	B-naive	increasing over time
CYBB	Time	0.00755881820599065	0.0160280507026894	0.0988580976114067	PTID2	B-naive	increasing over time
SS18L2	Time	1.84893207987536e-05	0.0160128288008833	0.00127214565930555	PTID2	B-naive	increasing over time
SRP9	Time	0.000773361237148436	0.0159181687049652	0.023282066568375	PTID2	B-naive	increasing over time
LAPTM4A	Time	8.52253983991729e-05	0.0157748101118677	0.00449563976555637	PTID2	B-naive	increasing over time
COMMD6	Time	0.126707515746136	0.0157725453213684	0.43242362405613	PTID2	B-naive	increasing over time
MALT1	Time	0.00498294714155693	0.0157554152802352	0.0778929754230216	PTID2	B-naive	increasing over time
BCAP31	Time	0.00108854740177153	0.0157528754432125	0.0287104377217242	PTID2	B-naive	increasing over time
FAM30A	Time	0.0420102402176854	0.0157414153793586	0.260710608409753	PTID2	B-naive	increasing over time
RNASE6	Time	0.000699546982259719	0.0157391341822217	0.021495788338369	PTID2	B-naive	increasing over time
RBX1	Time	0.0142361656449105	0.015713909819875	0.140804575831693	PTID2	B-naive	increasing over time
CCT2	Time	0.0027038432204008	0.0156848201200763	0.050867959391139	PTID2	B-naive	increasing over time
NDUFB3	Time	0.000159665711709142	0.0156091654757344	0.0072191711079919	PTID2	B-naive	increasing over time
SELENOH	Time	0.0786193317688821	0.0155504160124259	0.348139847570857	PTID2	B-naive	increasing over time
CLTA	Time	0.000368074108670557	0.0155302187847325	0.0135459831853757	PTID2	B-naive	increasing over time
IMP3	Time	0.00859854183127914	0.0154923048457055	0.107143247622041	PTID2	B-naive	increasing over time
UBE2M	Time	0.000395246794135472	0.0154891888496499	0.0140556865554918	PTID2	B-naive	increasing over time
BLNK	Time	0.00211990919312505	0.0154817773423209	0.0432871780402632	PTID2	B-naive	increasing over time
PLEKHF2	Time	0.0607763680677524	0.0154627683143943	0.312352865446726	PTID2	B-naive	increasing over time
ATP5MPL	Time	0.0229027365733656	0.0154431024255082	0.180740030888696	PTID2	B-naive	increasing over time
ATP5F1E	Time	0.028679319528759	0.0154380794921263	0.20582776940708	PTID2	B-naive	increasing over time
KTN1	Time	0.0393745131666331	0.0153876816848096	0.248998902456185	PTID2	B-naive	increasing over time
LAMTOR5	Time	0.0368929454999305	0.0153338293657653	0.238785628849243	PTID2	B-naive	increasing over time
PRELID1	Time	0.0335560681379801	0.0153116967875958	0.226449798841593	PTID2	B-naive	increasing over time
SERF2	Time	0.0873522641067979	0.0152562139528443	0.365700946955047	PTID2	B-naive	increasing over time
CSK	Time	0.0165088537288603	0.0152448255493895	0.150633825483404	PTID2	B-naive	increasing over time
GPX4	Time	0.0964881663817398	0.0152176313578972	0.383271955258648	PTID2	B-naive	increasing over time
PLPP5	Time	0.150889970270134	0.0152071234754956	0.468231088032769	PTID2	B-naive	increasing over time
SPIB	Time	0.0164924964805532	0.0151886225242527	0.150633825483404	PTID2	B-naive	increasing over time
AP2S1	Time	0.000929366378593712	0.0151602693525151	0.025577779028253	PTID2	B-naive	increasing over time
NDUFB11	Time	0.0968375011434451	0.0151318135260986	0.383271955258648	PTID2	B-naive	increasing over time
CCT7	Time	0.00759123865321265	0.0151251076699166	0.0988735404832018	PTID2	B-naive	increasing over time
PDCD10	Time	0.00540272662976491	0.0151138715505624	0.0802799520338306	PTID2	B-naive	increasing over time
ECHDC1	Time	0.000352193773125992	0.0150598394848896	0.0131140387287502	PTID2	B-naive	increasing over time
DAZAP2	Time	0.087120858332544	0.0150311968172006	0.365215253804638	PTID2	B-naive	increasing over time
UBXN4	Time	0.0102754776370451	0.0150057374668744	0.116990942289962	PTID2	B-naive	increasing over time
MIS18BP1	Time	0.0987144942703507	0.0150038942898605	0.3859432558869	PTID2	B-naive	increasing over time
ATP5IF1	Time	0.0792878639839071	0.0149768126467662	0.348139847570857	PTID2	B-naive	increasing over time
PTPRC	Time	0.188411565842432	0.0149738694843351	0.51666955477808	PTID2	B-naive	increasing over time
HNRNPA3	Time	0.0845967629595921	0.014948984039487	0.363295461013717	PTID2	B-naive	increasing over time
APBB1IP	Time	0.0140241982682398	0.0149273171574444	0.13958046389616	PTID2	B-naive	increasing over time
CD40	Time	0.0996771124434101	0.014925374120749	0.3859432558869	PTID2	B-naive	increasing over time
TMBIM4	Time	0.0890997949234688	0.0149198214080677	0.37105375122734	PTID2	B-naive	increasing over time
CD99	Time	0.0171503782084972	0.0148223268511565	0.152531250906805	PTID2	B-naive	increasing over time
RNASEH2C	Time	0.00222220145545137	0.0148075188644565	0.0445143519398961	PTID2	B-naive	increasing over time
FKBP1A	Time	0.0244004869143715	0.0147982490138848	0.188359856302405	PTID2	B-naive	increasing over time
LYL1	Time	0.00303878910436953	0.0146968789481799	0.0562442544756114	PTID2	B-naive	increasing over time
PSMB3	Time	0.0218800206284237	0.0146169070189648	0.175762094642033	PTID2	B-naive	increasing over time
PCMT1	Time	4.01566084552491e-05	0.0145558758512145	0.00235362344001599	PTID2	B-naive	increasing over time
COX7B	Time	0.0651454648415632	0.0144872367026461	0.323338096647912	PTID2	B-naive	increasing over time
GTF2A2	Time	0.0061786458951939	0.0144363402617533	0.0892941290332817	PTID2	B-naive	increasing over time
SMARCA5	Time	0.00888487766086209	0.0143682982850892	0.108994720141971	PTID2	B-naive	increasing over time
AC004687.1	Time	0.017168580395812	0.0143408148908358	0.152531250906805	PTID2	B-naive	increasing over time
BANF1	Time	0.0036923081714979	0.0142673139023587	0.0644292619136385	PTID2	B-naive	increasing over time
NDUFA12	Time	0.0091313157048678	0.0142553650283707	0.110837851790779	PTID2	B-naive	increasing over time
PYCARD	Time	0.000973422040464173	0.014245477720512	0.0263323141715308	PTID2	B-naive	increasing over time
PFN1	Time	0.0819432495353837	0.0141948910774166	0.355274499697931	PTID2	B-naive	increasing over time
CD72	Time	0.0361443410142457	0.0141403128202643	0.23593584444822	PTID2	B-naive	increasing over time
APRT	Time	0.100430501569855	0.0141097070119341	0.3859432558869	PTID2	B-naive	increasing over time
VASP	Time	0.00804659292596197	0.0140536768420865	0.103107152269918	PTID2	B-naive	increasing over time
PSMC6	Time	0.00748788386608508	0.0140482286094187	0.0984777329259669	PTID2	B-naive	increasing over time
SWAP70	Time	0.0990860469651984	0.0140327665434183	0.3859432558869	PTID2	B-naive	increasing over time
HLA-DMB	Time	0.0501340615697884	0.0140234226058329	0.282338620762243	PTID2	B-naive	increasing over time
UXT	Time	0.192598454770321	0.0139711009398982	0.518947565687031	PTID2	B-naive	increasing over time
PCMTD1	Time	0.0150894912561031	0.0139349030548578	0.143850119956525	PTID2	B-naive	increasing over time
FIBP	Time	0.000324173491234812	0.0139329948997427	0.0123615554187733	PTID2	B-naive	increasing over time
EIF3L	Time	0.0638419280756611	0.013921015689664	0.320823771968624	PTID2	B-naive	increasing over time
LY86	Time	0.0144951053844298	0.0139199261895634	0.14112248842929	PTID2	B-naive	increasing over time
SYNGR2	Time	0.0356977454253567	0.0139136892757322	0.234405320064842	PTID2	B-naive	increasing over time
USP8	Time	0.0276737558441795	0.013886428423717	0.20148704680069	PTID2	B-naive	increasing over time
ARHGAP24	Time	0.0218745715107641	0.0138517365563285	0.175762094642033	PTID2	B-naive	increasing over time
ELOB	Time	0.135627687338434	0.0138374661228864	0.444830705104812	PTID2	B-naive	increasing over time
CEP350	Time	0.00162037385555938	0.0138327562130986	0.0375617367955899	PTID2	B-naive	increasing over time
LYSMD2	Time	0.000846170068900411	0.0137789143482751	0.0243466206188164	PTID2	B-naive	increasing over time
JPT1	Time	2.33753514798951e-05	0.0136978635312069	0.00150985688640547	PTID2	B-naive	increasing over time
ATP5PF	Time	0.0377258474170627	0.013681411223941	0.242195349036518	PTID2	B-naive	increasing over time
ATP5MF	Time	0.0729682351347161	0.0136753863150266	0.341773859158899	PTID2	B-naive	increasing over time
ARPC1B	Time	0.138164768016979	0.013612193274036	0.448504093101269	PTID2	B-naive	increasing over time
IGLC3	Time	0.0274573831366199	0.0136019177161704	0.20148704680069	PTID2	B-naive	increasing over time
OSTC	Time	0.00230297786703431	0.0135252794717993	0.0455557809322725	PTID2	B-naive	increasing over time
KHDRBS1	Time	0.0460802242536923	0.0134990268556686	0.272993820029775	PTID2	B-naive	increasing over time
PPP4C	Time	0.000845346117889192	0.0134542928435528	0.0243466206188164	PTID2	B-naive	increasing over time
ATRX	Time	0.153735095475194	0.0134272192585166	0.472858675586966	PTID2	B-naive	increasing over time
MBD4	Time	0.129899348572269	0.0133758116181167	0.43830643734673	PTID2	B-naive	increasing over time
GHITM	Time	0.0346987284494284	0.0133261815050943	0.230389934261333	PTID2	B-naive	increasing over time
CD48	Time	0.180919792399383	0.01331805603076	0.508750286610629	PTID2	B-naive	increasing over time
CTSZ	Time	0.066627676733579	0.013299175800476	0.326940460250818	PTID2	B-naive	increasing over time
ACAP1	Time	0.00961769348668684	0.0132687594178668	0.1145344693248	PTID2	B-naive	increasing over time
ADRM1	Time	0.000760423806853139	0.0132198932770545	0.0231417437374056	PTID2	B-naive	increasing over time
APOBEC3C	Time	0.0148588760562565	0.0131722475434176	0.142510129448642	PTID2	B-naive	increasing over time
PPP3CA	Time	0.0417750319300156	0.0131468463877135	0.2597602673055	PTID2	B-naive	increasing over time
SEC11A	Time	0.0579151285867984	0.0130719512089302	0.303382853323908	PTID2	B-naive	increasing over time
PSMC5	Time	0.022413193562224	0.013029305268022	0.17863647568115	PTID2	B-naive	increasing over time
PYURF	Time	0.0378549952855182	0.0130100886426522	0.242532510280698	PTID2	B-naive	increasing over time
DAPP1	Time	0.0510004261901944	0.0129814562831146	0.283448615945956	PTID2	B-naive	increasing over time
PAPOLA	Time	0.0638606560316693	0.0129399707999531	0.320823771968624	PTID2	B-naive	increasing over time
