primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
ANXA4	Time	0.00546002926535329	0.0182789778653064	0.2862069042112	PTID2	B-intermediate	increasing over time
CMTM6	Time	0.0716901777977483	0.0181965811360453	0.637767256612923	PTID2	B-intermediate	increasing over time
PSIP1	Time	0.0883491756728049	0.0181508443606445	0.66127803519712	PTID2	B-intermediate	increasing over time
POLE4	Time	0.0788306884777366	0.0180860345139677	0.657203080912523	PTID2	B-intermediate	increasing over time
RWDD1	Time	0.153656370052662	0.0180265129448526	0.7480390543901	PTID2	B-intermediate	increasing over time
XRN2	Time	0.0606272061598646	0.0179569589211686	0.622959853193154	PTID2	B-intermediate	increasing over time
NCOR1	Time	0.0303049423615425	0.0179321488312236	0.516491894042452	PTID2	B-intermediate	increasing over time
STK4	Time	0.307643219168402	0.0179080922845539	0.844255102881623	PTID2	B-intermediate	increasing over time
CLEC2D	Time	0.296682208327465	0.0177339490643451	0.835678886638224	PTID2	B-intermediate	increasing over time
DDX17	Time	0.284719385277843	0.0176808234518637	0.827516556211104	PTID2	B-intermediate	increasing over time
HLA-F	Time	0.217225859448979	0.0176362747469319	0.797072550928337	PTID2	B-intermediate	increasing over time
NASP	Time	0.0808023754626537	0.0176227977373519	0.657203080912523	PTID2	B-intermediate	increasing over time
SPI1	Time	0.0473026787230637	0.0175406119115686	0.570834108716371	PTID2	B-intermediate	increasing over time
SCIMP	Time	0.00651946511613774	0.0175193127243632	0.301451176790505	PTID2	B-intermediate	increasing over time
RSL1D1	Time	0.0439238985041497	0.0174195660336107	0.563805498464937	PTID2	B-intermediate	increasing over time
CAP1	Time	0.172490209345793	0.0174148970471419	0.754691034223688	PTID2	B-intermediate	increasing over time
SPCS3	Time	0.121055662799889	0.0174072731308891	0.712186154645115	PTID2	B-intermediate	increasing over time
PSMB3	Time	0.13679454206007	0.0173871395752976	0.734323207971535	PTID2	B-intermediate	increasing over time
BLNK	Time	0.070828551877692	0.0173794113547929	0.636206131545979	PTID2	B-intermediate	increasing over time
POLR2L	Time	0.172997297395352	0.0173546376143123	0.755035291925551	PTID2	B-intermediate	increasing over time
LARS	Time	0.0532146051826928	0.0172822109229322	0.593934384436821	PTID2	B-intermediate	increasing over time
