primerid	contrast	nomP	coef	adjP	donorID	group_type	dir
MORC3	Time	0.53060890736405	0.00518641087685831	0.839502986069808	PTID2	NK	increasing over time
NOL8	Time	0.371566520657285	0.0051727575220212	0.753505905084625	PTID2	NK	increasing over time
TRIAP1	Time	0.159503470214621	0.00517008510036104	0.580695399355843	PTID2	NK	increasing over time
MYL6	Time	0.293921988509726	0.00515930543659193	0.700010189311355	PTID2	NK	increasing over time
TMEM263	Time	0.258917847544177	0.00515591366155446	0.674195694682808	PTID2	NK	increasing over time
SNX3	Time	0.121729311749587	0.00514203215102726	0.514391789283081	PTID2	NK	increasing over time
TPMT	Time	0.133082999283838	0.00513752980967909	0.536859563090368	PTID2	NK	increasing over time
UQCRQ	Time	0.762965360260463	0.00513588311606927	0.928610716858224	PTID2	NK	increasing over time
DNAJC21	Time	0.653687432845515	0.00511715228855125	0.88645750498568	PTID2	NK	increasing over time
PPP1R35	Time	0.320435045899685	0.00511644254793683	0.718378831594204	PTID2	NK	increasing over time
SURF1	Time	0.168209071317885	0.00511463373858173	0.584393747261955	PTID2	NK	increasing over time
EIF1AX	Time	0.273046707940487	0.00510359353308348	0.683577586801743	PTID2	NK	increasing over time
SPTBN1	Time	0.499358466287112	0.00510135781283572	0.830213162018422	PTID2	NK	increasing over time
PDHB	Time	0.0749134386557765	0.00509919035497253	0.423071278295974	PTID2	NK	increasing over time
COPB1	Time	0.542574998317889	0.00509602449956775	0.842538044353787	PTID2	NK	increasing over time
NIPSNAP2	Time	0.402371430817838	0.00509514153879634	0.769540278001075	PTID2	NK	increasing over time
ATP2A3	Time	0.378201801449642	0.00509067801028776	0.754042404730623	PTID2	NK	increasing over time
EIF3J	Time	0.687384291050423	0.00508263251448687	0.898374993613996	PTID2	NK	increasing over time
ZNF91	Time	0.296083265053944	0.00508251875276874	0.701293493458122	PTID2	NK	increasing over time
SF1	Time	0.632444471842436	0.00507725347772892	0.877261686749186	PTID2	NK	increasing over time
LLGL2	Time	0.408609917143026	0.0050753510281546	0.775407665267052	PTID2	NK	increasing over time
MRPL2	Time	0.168825184698101	0.00507290467882011	0.585131043156484	PTID2	NK	increasing over time
NARS	Time	0.585369235483127	0.00507233221026687	0.859170974660719	PTID2	NK	increasing over time
ACSL3	Time	0.329474709607555	0.0050696894426463	0.723250252750251	PTID2	NK	increasing over time
WDR46	Time	0.440987478917846	0.00506614283178672	0.793007355241512	PTID2	NK	increasing over time
TBPL1	Time	0.249269834479621	0.00506361824355114	0.666251955135763	PTID2	NK	increasing over time
RBMX	Time	0.703818092935103	0.00505797609591851	0.90476716792037	PTID2	NK	increasing over time
CYTH4	Time	0.48966678981006	0.00505409033938559	0.82423295618573	PTID2	NK	increasing over time
MTDH	Time	0.787731085703379	0.0050531093982078	0.941133824822801	PTID2	NK	increasing over time
PLAC8	Time	0.571234384802341	0.00504816728583113	0.854973372920497	PTID2	NK	increasing over time
PDIA6	Time	0.140895718831874	0.00504681241930882	0.551324947789123	PTID2	NK	increasing over time
DDX58	Time	0.261223647372175	0.00504500739085091	0.674373324928822	PTID2	NK	increasing over time
PSMD1	Time	0.0437535455942399	0.00503786437214543	0.355941006050438	PTID2	NK	increasing over time
RBX1	Time	0.740686359611478	0.00502746098106699	0.921515080912271	PTID2	NK	increasing over time
RMDN3	Time	0.00841568291536434	0.0050213915531587	0.168013098203167	PTID2	NK	increasing over time
CCNDBP1	Time	0.721507892312707	0.00501699336773714	0.91338090670321	PTID2	NK	increasing over time
RBM28	Time	0.393462054727376	0.00501537637380786	0.763698918724316	PTID2	NK	increasing over time
SMARCA2	Time	0.668003482676903	0.00501474629451315	0.891202737031954	PTID2	NK	increasing over time
IFI6	Time	0.452338604901126	0.00501351734369898	0.799155831753237	PTID2	NK	increasing over time
PDCD6	Time	0.693992616901927	0.00500878741751898	0.901803958904717	PTID2	NK	increasing over time
NCL	Time	0.809004979958541	0.0050056715118183	0.950070974363077	PTID2	NK	increasing over time
NDUFA2	Time	0.750957486692262	0.00500302802663055	0.926911738087538	PTID2	NK	increasing over time
USP7	Time	0.216895730575117	0.0049902489442033	0.643816470414401	PTID2	NK	increasing over time
CMC1	Time	0.870062693617026	0.00498647680109254	0.967168559903242	PTID2	NK	increasing over time
CPNE3	Time	0.107708751216361	0.00497322244719828	0.490274809520866	PTID2	NK	increasing over time
