index	composite_classification	score
0	0	0.15
1	0	0.13
2	1	0.8733333333333333
3	1	0.8933333333333333
4	1	0.8933333333333333
5	0	0.25
6	0	0.5133333333333333
7	0	0.18666666666666668
8	1	0.9833333333333333
9	1	0.9733333333333334
10	0	0.19666666666666666
11	1	0.9933333333333333
12	1	1.0
13	0	0.28
14	0	0.15666666666666668
15	0	0.2733333333333333
16	0	0.21333333333333335
17	0	0.13666666666666666
18	0	0.8633333333333333
19	1	0.96
20	0	0.14
21	1	1.0
22	0	0.16333333333333333
23	1	0.99
24	1	1.0
25	0	0.29
26	1	0.9966666666666667
27	0	0.16333333333333333
28	1	0.96
29	0	0.20666666666666667
30	0	0.17
31	1	0.9
32	0	0.20666666666666667
33	0	0.15
34	1	0.9833333333333333
35	1	0.8766666666666667
36	0	0.5533333333333333
37	0	0.18333333333333332
38	1	1.0
39	1	0.9966666666666667
40	0	0.16333333333333333
41	0	0.19333333333333333
42	0	0.29333333333333333
43	1	0.89
44	1	0.8833333333333333
45	0	0.20666666666666667
46	1	1.0
47	0	0.5033333333333333
48	1	0.91
49	0	0.2733333333333333
50	0	0.2733333333333333
51	0	0.18
52	0	0.12333333333333334
53	0	0.38666666666666666
54	0	0.2
55	1	1.0
56	0	0.20333333333333334
57	0	0.25333333333333335
58	0	0.27
59	1	0.98
60	0	0.91
61	0	0.24
62	0	0.13333333333333333
63	0	0.31333333333333335
64	0	0.19333333333333333
65	1	0.8933333333333333
66	0	0.24666666666666667
67	0	0.27
68	1	0.9633333333333334
69	1	1.0
70	1	0.9833333333333333
71	0	0.23333333333333334
72	0	0.22
73	0	0.24
74	1	0.9733333333333334
75	0	0.22333333333333333
76	0	0.21333333333333335
77	1	0.9166666666666666
78	0	0.5233333333333333
79	0	0.21
80	0	0.18333333333333332
81	0	0.23
82	0	0.24333333333333335
83	0	0.28
84	1	0.98
85	0	0.15
86	0	0.23
87	1	0.87
88	0	0.2733333333333333
89	1	0.94
90	1	0.8533333333333334
91	1	0.8766666666666667
92	0	0.38
93	1	0.89
94	0	0.2866666666666667
95	1	0.9866666666666667
96	1	0.91
97	1	0.9633333333333334
98	1	0.9266666666666666
99	1	0.9133333333333333
100	0	0.21666666666666667
101	0	0.3233333333333333
102	0	0.11333333333333333
103	0	0.10666666666666667
104	0	0.34
105	0	0.2733333333333333
106	1	1.0
107	0	0.25666666666666665
108	0	0.17333333333333334
109	0	0.27666666666666667
110	1	0.9133333333333333
111	1	0.9266666666666666
112	0	0.19666666666666666
113	0	0.19666666666666666
114	0	0.43333333333333335
115	1	0.8933333333333333
116	0	0.31333333333333335
117	0	0.14666666666666667
118	0	0.23
119	0	0.32666666666666666
120	1	0.9366666666666666
121	1	1.0
122	0	0.29333333333333333
123	0	0.3
124	1	0.9566666666666667
125	0	0.13333333333333333
126	1	0.8833333333333333
127	0	0.25333333333333335
128	0	0.15333333333333332
129	1	0.9366666666666666
130	0	0.15333333333333332
131	0	0.24
132	0	0.26
133	0	0.2866666666666667
134	0	0.17
135	0	0.31333333333333335
136	0	0.36666666666666664
137	0	0.4266666666666667
138	0	0.8666666666666667
139	0	0.3
140	0	0.13
141	0	0.15333333333333332
142	0	0.12333333333333334
143	0	0.28
144	1	0.98
145	0	0.22
146	0	0.25
147	0	0.89
148	0	0.22333333333333333
149	0	0.25
150	0	0.29333333333333333
151	1	0.9566666666666667
152	0	0.17333333333333334
153	0	0.2866666666666667
154	1	0.9633333333333334
155	0	0.8666666666666667
156	0	0.2966666666666667
157	1	0.9866666666666667
158	1	0.93
159	0	0.17666666666666667
160	0	0.27
161	0	0.17666666666666667
162	1	0.9866666666666667
163	0	0.23
164	1	0.8933333333333333
165	0	0.3466666666666667
166	0	0.2833333333333333
167	0	0.33
168	0	0.29333333333333333
169	0	0.4533333333333333
170	0	0.24
171	0	0.15
172	0	0.54
173	0	0.3233333333333333
174	0	0.12333333333333334
175	0	0.14666666666666667
176	0	0.8633333333333333
177	0	0.14
178	1	1.0
179	0	0.19666666666666666
180	0	0.15333333333333332
181	0	0.18333333333333332
182	0	0.3233333333333333
183	1	0.92
184	1	0.9333333333333333
185	1	0.92
186	1	0.9033333333333333
187	1	0.9966666666666667
188	0	0.14666666666666667
189	0	0.17333333333333334
190	0	0.37666666666666665
191	0	0.17333333333333334
192	0	0.13333333333333333
193	1	0.9933333333333333
194	1	0.91
195	0	0.8833333333333333
196	0	0.8366666666666667
197	0	0.16666666666666666
198	1	0.9933333333333333
199	1	0.8866666666666667
200	0	0.14666666666666667
201	0	0.18333333333333332
202	0	0.16
203	0	0.4033333333333333
204	0	0.57
205	0	0.25333333333333335
206	0	0.32
207	0	0.17333333333333334
208	1	0.9533333333333334
209	0	0.17333333333333334
210	1	0.8733333333333333
211	0	0.17
212	0	0.23
213	0	0.7133333333333334
214	1	0.95
215	0	0.19333333333333333
216	1	0.8833333333333333
217	0	0.20666666666666667
218	0	0.25
219	0	0.18
220	1	1.0
221	0	0.24333333333333335
222	1	0.9533333333333334
223	0	0.16666666666666666
224	1	0.9933333333333333
225	1	0.9566666666666667
226	0	0.24
227	1	0.8666666666666667
228	0	0.13666666666666666
229	1	0.9566666666666667
230	0	0.21666666666666667
231	0	0.27666666666666667
232	0	0.24666666666666667
233	1	0.9
234	1	0.9833333333333333
235	0	0.18666666666666668
236	0	0.29
237	0	0.16333333333333333
238	1	0.9033333333333333
239	1	0.9833333333333333
240	0	0.20666666666666667
241	0	0.26
242	0	0.18666666666666668
243	0	0.19
244	0	0.38666666666666666
245	0	0.14333333333333334
246	1	0.9133333333333333
247	0	0.22333333333333333
248	1	1.0
249	0	0.18
250	0	0.14
251	0	0.20666666666666667
252	0	0.2
253	0	0.3
254	1	0.9733333333333334
255	0	0.86
256	0	0.16
257	0	0.14666666666666667
258	0	0.19
259	0	0.29333333333333333
260	0	0.17
261	0	0.30666666666666664
262	1	0.9933333333333333
263	0	0.22
264	1	1.0
265	1	1.0
266	1	0.9166666666666666
267	0	0.18666666666666668
268	1	0.93
269	0	0.24
270	1	0.93
271	1	0.8866666666666667
272	0	0.2866666666666667
273	0	0.23666666666666666
274	0	0.22
275	1	0.9
276	0	0.8566666666666667
277	0	0.18333333333333332
278	0	0.18666666666666668
279	0	0.14666666666666667
280	1	0.8566666666666667
281	1	0.93
282	0	0.16333333333333333
283	0	0.6766666666666666
284	0	0.33
285	1	0.97
286	0	0.14
287	1	0.9633333333333334
288	1	0.8766666666666667
289	0	0.74
290	0	0.8666666666666667
291	1	0.8866666666666667
292	1	0.9866666666666667
293	1	0.8933333333333333
294	1	0.9833333333333333
295	1	0.9166666666666666
296	0	0.17666666666666667
297	1	0.8966666666666666
298	1	0.8833333333333333
