index	composite_classification	score
0	0	7.256102114532111733e-15
1	0	4.9508393435542084277e-10
2	1	0.8582886965978339485
3	1	0.67511390267298013255
4	1	0.9117391018694938244
5	0	0.0
6	0	0.0
7	0	0.0
8	1	0.94949944696022159363
9	1	0.9462120848573734033
10	0	0.0
11	1	0.9781691389554492862
12	1	1.000000000000000111
13	0	0.0
14	0	0.0
15	0	4.949103956444189738e-09
16	0	4.879658949017578176e-08
17	1	0.9707169153819847815
18	0	0.0
19	1	0.941514318730049513
20	0	2.6788230708709149674e-07
21	1	0.9999999991760877508
22	0	0.0
23	1	1.0
24	1	1.0000000000000000971
25	0	0.0
26	1	0.9999726947371295145
27	1	0.875135486539376859
28	1	0.9999999994589373274
29	0	2.5670807448313157411e-14
30	0	0.0
31	1	0.9601277487641802061
32	0	0.0
33	1	0.9530856547075459728
34	1	0.9656069276436022734
35	1	0.8608818167139784504
36	0	0.0
37	1	0.94147121886865300374
38	1	1.000000000000000111
39	1	0.99999666361343885347
40	0	1.3442407145988711797e-12
41	0	0.0
42	0	0.0
43	1	0.9999999999999975152
44	1	0.99999999999988592556
45	0	0.0
46	1	0.9999999999999998936
47	1	0.90587753491441191933
48	1	0.69894829418984538716
49	0	0.0
50	0	0.0
51	0	0.0
52	1	0.99178877804835781113
53	0	0.0
54	0	0.0
55	1	1.000000000000000111
56	0	0.0
57	0	0.0
58	0	0.0
59	1	1.0000000000000000833
60	0	4.10211060512029105e-13
61	0	0.0
62	0	6.1392512226803934434e-12
63	0	0.0
64	0	0.0
65	1	0.54772984930726991044
66	0	4.2791128591071076472e-13
67	0	0.0
68	1	0.9609029020272931909
69	1	0.99999999999999991673
70	1	0.9999999970903010914
71	0	0.0
72	0	0.0
73	0	0.0
74	1	0.92176728533906872835
75	0	0.0
76	0	4.6267061506162234486e-13
77	1	0.88987468791739311307
78	0	0.0
79	0	0.0
80	0	0.0
81	0	0.0
82	0	0.0
83	0	0.0
84	1	0.9897492203771993424
85	0	9.417560587325897439e-08
86	0	0.0
87	1	0.72653261399442348834
88	0	0.0
89	1	0.99999999999999994297
90	1	0.74181952671840588646
91	1	0.86096531571283662666
92	0	0.0
93	1	0.8192245199872926746
